wall_time,seq,timestamp_ms,rtt_raw_ns,rtt_est_ns,dist_cm,n_frames,status
2026-04-01T03:23:24.351,36,63668,139,139,2085,58,SUCCESS
2026-04-01T03:23:26.091,37,65409,149,149,2235,56,SUCCESS
2026-04-01T03:23:27.847,38,67164,120,120,1800,56,SUCCESS
2026-04-01T03:23:29.574,39,68894,67,67,1005,54,SUCCESS
2026-04-01T03:23:31.212,40,70529,104,104,1560,60,SUCCESS
2026-04-01T03:23:32.957,41,72274,96,96,1440,55,SUCCESS
2026-04-01T03:23:34.592,42,73909,93,93,1395,57,SUCCESS
2026-04-01T03:23:36.332,43,75649,91,91,1365,57,SUCCESS
2026-04-01T03:23:38.070,44,77389,89,89,1335,56,SUCCESS
2026-04-01T03:23:39.713,45,79031,88,88,1320,59,SUCCESS
2026-04-01T03:23:41.452,46,80769,88,88,1320,55,SUCCESS
2026-04-01T03:23:43.091,47,82408,106,106,1590,57,SUCCESS
2026-04-01T03:23:44.831,48,84149,111,111,1665,27,SUCCESS
2026-04-01T03:23:46.264,49,85581,126,126,1890,45,SUCCESS
2026-04-01T03:23:47.911,50,87228,113,113,1695,42,SUCCESS
2026-04-01T03:23:49.541,51,88858,100,100,1500,56,SUCCESS
2026-04-01T03:23:51.281,52,90599,99,99,1485,59,SUCCESS
2026-04-01T03:23:53.022,53,92339,85,85,1275,56,SUCCESS
2026-04-01T03:23:54.762,54,94080,84,84,1260,56,SUCCESS
2026-04-01T03:23:56.504,55,95821,82,82,1230,56,SUCCESS
2026-04-01T03:23:58.245,56,97562,86,86,1290,59,SUCCESS
2026-04-01T03:23:59.986,57,99303,86,86,1290,55,SUCCESS
2026-04-01T03:24:01.624,58,100941,85,85,1275,60,SUCCESS
2026-04-01T03:24:03.370,59,102687,89,89,1335,59,SUCCESS
2026-04-01T03:24:05.106,60,104423,91,91,1365,50,SUCCESS
2026-04-01T03:24:06.743,61,106061,85,85,1275,60,SUCCESS
2026-04-01T03:24:08.486,62,107804,83,83,1245,61,SUCCESS
2026-04-01T03:24:10.226,63,109543,80,80,1200,57,SUCCESS
2026-04-01T03:24:11.964,64,111283,76,76,1140,60,SUCCESS
2026-04-01T03:24:13.706,65,113024,76,76,1140,56,SUCCESS
2026-04-01T03:24:15.447,66,114765,77,77,1155,60,SUCCESS
2026-04-01T03:24:17.187,67,116505,74,74,1110,61,SUCCESS
2026-04-01T03:24:18.930,68,118247,75,75,1125,59,SUCCESS
2026-04-01T03:24:20.670,69,119987,75,75,1125,50,SUCCESS
2026-04-01T03:24:22.307,70,121625,74,74,1110,51,SUCCESS
2026-04-01T03:24:23.948,71,123264,75,75,1125,59,SUCCESS
2026-04-01T03:24:25.685,72,125004,75,75,1125,60,SUCCESS
