wall_time,seq,timestamp_ms,rtt_raw_ns,rtt_est_ns,dist_cm,n_frames,status
2026-04-01T03:16:52.064,25,46980,60,60,900,55,SUCCESS
2026-04-01T03:16:53.805,26,48720,66,66,990,58,SUCCESS
2026-04-01T03:16:55.549,27,50465,68,68,1020,55,SUCCESS
2026-04-01T03:16:57.286,28,52202,68,68,1020,57,SUCCESS
2026-04-01T03:16:59.027,29,53942,70,70,1050,60,SUCCESS
2026-04-01T03:17:00.767,30,55683,71,71,1065,59,SUCCESS
2026-04-01T03:17:02.508,31,57424,69,69,1035,60,SUCCESS
2026-04-01T03:17:04.248,32,59165,69,69,1035,55,SUCCESS
2026-04-01T03:17:05.887,33,60804,74,74,1110,56,SUCCESS
2026-04-01T03:17:07.628,34,62544,69,69,1035,55,SUCCESS
2026-04-01T03:17:09.281,35,64197,64,64,960,51,SUCCESS
2026-04-01T03:17:10.907,36,65821,59,59,885,57,SUCCESS
2026-04-01T03:17:12.650,37,67566,59,59,885,55,SUCCESS
2026-04-01T03:17:14.285,38,69201,58,58,870,54,SUCCESS
2026-04-01T03:17:15.923,39,70839,57,57,855,58,SUCCESS
2026-04-01T03:17:17.663,40,72579,57,57,855,57,SUCCESS
2026-04-01T03:17:19.403,41,74320,56,56,840,56,SUCCESS
2026-04-01T03:17:21.161,42,76075,55,55,825,51,SUCCESS
2026-04-01T03:17:22.783,43,77699,53,53,795,51,SUCCESS
2026-04-01T03:17:24.422,44,79337,52,52,780,54,SUCCESS
2026-04-01T03:17:26.075,45,80992,51,51,765,45,SUCCESS
2026-04-01T03:17:27.698,46,82614,51,51,765,59,SUCCESS
2026-04-01T03:17:29.454,47,84370,52,52,780,48,SUCCESS
2026-04-01T03:17:31.075,48,85993,52,52,780,59,SUCCESS
2026-04-01T03:17:32.820,49,87737,51,51,765,55,SUCCESS
2026-04-01T03:17:34.457,50,89373,50,50,750,57,SUCCESS
2026-04-01T03:17:36.201,51,91117,50,50,750,55,SUCCESS
2026-04-01T03:17:37.938,52,92854,52,52,780,61,SUCCESS
2026-04-01T03:17:39.678,53,94595,51,51,765,57,SUCCESS
2026-04-01T03:17:41.418,54,96336,50,50,750,54,SUCCESS
2026-04-01T03:17:43.057,55,97974,51,51,765,58,SUCCESS
2026-04-01T03:17:44.799,56,99715,50,50,750,59,SUCCESS
2026-04-01T03:17:46.539,57,101455,51,51,765,59,SUCCESS
2026-04-01T03:17:48.281,58,103196,53,53,795,62,SUCCESS
2026-04-01T03:17:50.021,59,104937,55,55,825,61,SUCCESS
2026-04-01T03:17:51.762,60,106678,59,59,885,61,SUCCESS
2026-04-01T03:17:53.502,61,108419,56,56,840,62,SUCCESS
2026-04-01T03:17:55.242,62,110159,63,63,945,62,SUCCESS
2026-04-01T03:17:56.985,63,111901,62,62,930,59,SUCCESS
