wall_time,seq,timestamp_ms,rtt_raw_ns,rtt_est_ns,dist_cm,n_frames,status
2026-04-01T03:08:06.353,22,42064,10,10,150,58,SUCCESS
2026-04-01T03:08:08.098,23,43807,11,11,165,59,SUCCESS
2026-04-01T03:08:09.836,24,45546,12,12,180,62,SUCCESS
2026-04-01T03:08:11.575,25,47286,12,12,180,57,SUCCESS
2026-04-01T03:08:13.318,26,49028,16,16,240,58,SUCCESS
2026-04-01T03:08:15.061,27,50772,14,14,210,62,SUCCESS
2026-04-01T03:08:16.799,28,52509,9,9,135,59,SUCCESS
2026-04-01T03:08:18.540,29,54250,13,13,195,61,SUCCESS
2026-04-01T03:08:20.281,30,55991,13,13,195,61,SUCCESS
2026-04-01T03:08:22.020,31,57731,12,12,180,62,SUCCESS
2026-04-01T03:08:23.762,32,59472,12,12,180,55,SUCCESS
2026-04-01T03:08:25.405,33,61115,13,13,195,60,SUCCESS
2026-04-01T03:08:27.142,34,62851,13,13,195,60,SUCCESS
2026-04-01T03:08:28.881,35,64592,14,14,210,59,SUCCESS
2026-04-01T03:08:30.623,36,66333,14,14,210,60,SUCCESS
2026-04-01T03:08:32.361,37,68074,14,14,210,61,SUCCESS
2026-04-01T03:08:34.103,38,69814,14,14,210,62,SUCCESS
2026-04-01T03:08:35.845,39,71555,14,14,210,62,SUCCESS
2026-04-01T03:08:37.584,40,73296,13,13,195,60,SUCCESS
2026-04-01T03:08:39.325,41,75036,14,14,210,61,SUCCESS
2026-04-01T03:08:41.067,42,76778,15,15,225,62,SUCCESS
2026-04-01T03:08:42.807,43,78518,15,15,225,62,SUCCESS
2026-04-01T03:08:44.550,44,80261,14,14,210,62,SUCCESS
2026-04-01T03:08:46.289,45,82000,15,15,225,61,SUCCESS
2026-04-01T03:08:48.029,46,83740,14,14,210,62,SUCCESS
2026-04-01T03:08:49.771,47,85481,15,15,225,61,SUCCESS
2026-04-01T03:08:51.513,48,87222,14,14,210,59,SUCCESS
2026-04-01T03:08:53.252,49,88963,15,15,225,61,SUCCESS
2026-04-01T03:08:54.992,50,90704,15,15,225,62,SUCCESS
2026-04-01T03:08:56.740,51,92449,14,14,210,60,SUCCESS
2026-04-01T03:08:58.474,52,94186,15,15,225,62,SUCCESS
2026-04-01T03:09:00.215,53,95926,15,15,225,62,SUCCESS
2026-04-01T03:09:01.956,54,97667,15,15,225,62,SUCCESS
2026-04-01T03:09:03.696,55,99408,15,15,225,62,SUCCESS
