wall_time,seq,timestamp_ms,rtt_raw_ns,rtt_est_ns,dist_cm,n_frames,status
2026-04-01T03:18:45.317,26,47979,60,60,900,59,SUCCESS
2026-04-01T03:18:47.058,27,49720,61,61,915,61,SUCCESS
2026-04-01T03:18:48.798,28,51460,60,60,900,57,SUCCESS
2026-04-01T03:18:50.538,29,53201,61,61,915,60,SUCCESS
2026-04-01T03:18:52.281,30,54944,62,62,930,57,SUCCESS
2026-04-01T03:18:54.020,31,56683,63,63,945,57,SUCCESS
2026-04-01T03:18:55.759,32,58424,61,61,915,52,SUCCESS
2026-04-01T03:18:57.400,33,60062,60,60,900,62,SUCCESS
2026-04-01T03:18:59.139,34,61803,62,62,930,59,SUCCESS
2026-04-01T03:19:00.895,35,63557,62,62,930,61,SUCCESS
2026-04-01T03:19:02.620,36,65283,64,64,960,60,SUCCESS
2026-04-01T03:19:04.363,37,67026,63,63,945,59,SUCCESS
2026-04-01T03:19:06.101,38,68765,66,66,990,60,SUCCESS
2026-04-01T03:19:07.843,39,70505,68,68,1020,60,SUCCESS
2026-04-01T03:19:09.585,40,72248,58,58,870,60,SUCCESS
2026-04-01T03:19:11.328,41,73991,58,58,870,59,SUCCESS
2026-04-01T03:19:13.065,42,75727,58,58,870,60,SUCCESS
2026-04-01T03:19:14.806,43,77469,58,58,870,62,SUCCESS
2026-04-01T03:19:16.549,44,79211,58,58,870,60,SUCCESS
2026-04-01T03:19:18.291,45,80953,58,58,870,60,SUCCESS
2026-04-01T03:19:20.028,46,82691,59,59,885,62,SUCCESS
2026-04-01T03:19:21.769,47,84432,59,59,885,60,SUCCESS
2026-04-01T03:19:23.510,48,86172,59,59,885,62,SUCCESS
2026-04-01T03:19:25.251,49,87913,60,60,900,54,SUCCESS
2026-04-01T03:19:26.890,50,89552,61,61,915,58,SUCCESS
2026-04-01T03:19:28.629,51,91292,61,61,915,60,SUCCESS
2026-04-01T03:19:30.371,52,93033,61,61,915,61,SUCCESS
2026-04-01T03:19:32.115,53,94778,64,64,960,62,SUCCESS
2026-04-01T03:19:33.855,54,96517,62,62,930,60,SUCCESS
2026-04-01T03:19:35.592,55,98255,63,63,945,57,SUCCESS
2026-04-01T03:19:37.333,56,99996,66,66,990,62,SUCCESS
2026-04-01T03:19:39.077,57,101739,65,65,975,58,SUCCESS
2026-04-01T03:19:40.814,58,103477,63,63,945,59,SUCCESS
2026-04-01T03:19:42.555,59,105218,65,65,975,58,SUCCESS
2026-04-01T03:19:44.297,60,106959,69,69,1035,58,SUCCESS
2026-04-01T03:19:46.040,61,108702,70,70,1050,57,SUCCESS
2026-04-01T03:19:47.778,62,110441,70,70,1050,55,SUCCESS
