wall_time,seq,timestamp_ms,rtt_raw_ns,rtt_est_ns,dist_cm,n_frames,status
2026-04-01T03:25:21.494,29,53738,8,8,120,62,SUCCESS
2026-04-01T03:25:23.234,30,55479,8,8,120,62,SUCCESS
2026-04-01T03:25:24.973,31,57220,8,8,120,61,SUCCESS
2026-04-01T03:25:26.717,32,58961,9,9,135,61,SUCCESS
2026-04-01T03:25:28.456,33,60701,9,9,135,61,SUCCESS
2026-04-01T03:25:30.197,34,62442,8,8,120,59,SUCCESS
2026-04-01T03:25:31.938,35,64183,8,8,120,60,SUCCESS
2026-04-01T03:25:33.679,36,65924,8,8,120,56,SUCCESS
2026-04-01T03:25:35.319,37,67562,8,8,120,60,SUCCESS
2026-04-01T03:25:37.058,38,69303,9,9,135,59,SUCCESS
2026-04-01T03:25:38.802,39,71045,9,9,135,61,SUCCESS
2026-04-01T03:25:40.539,40,72784,9,9,135,62,SUCCESS
2026-04-01T03:25:42.279,41,74525,9,9,135,62,SUCCESS
2026-04-01T03:25:44.021,42,76266,10,10,150,61,SUCCESS
2026-04-01T03:25:45.762,43,78007,10,10,150,61,SUCCESS
2026-04-01T03:25:47.502,44,79748,10,10,150,61,SUCCESS
2026-04-01T03:25:49.242,45,81488,10,10,150,61,SUCCESS
2026-04-01T03:25:50.998,46,83243,10,10,150,62,SUCCESS
2026-04-01T03:25:52.724,47,84970,10,10,150,61,SUCCESS
2026-04-01T03:25:54.465,48,86711,11,11,165,62,SUCCESS
2026-04-01T03:25:56.205,49,88452,10,10,150,61,SUCCESS
2026-04-01T03:25:57.948,50,90192,10,10,150,62,SUCCESS
2026-04-01T03:25:59.687,51,91933,10,10,150,57,SUCCESS
2026-04-01T03:26:01.429,52,93674,9,9,135,61,SUCCESS
2026-04-01T03:26:03.170,53,95415,9,9,135,60,SUCCESS
2026-04-01T03:26:04.910,54,97155,9,9,135,60,SUCCESS
2026-04-01T03:26:06.663,55,98896,9,9,135,62,SUCCESS
2026-04-01T03:26:08.391,56,100637,9,9,135,62,SUCCESS
2026-04-01T03:26:10.133,57,102378,9,9,135,62,SUCCESS
2026-04-01T03:26:11.876,58,104120,9,9,135,61,SUCCESS
2026-04-01T03:26:13.615,59,105859,9,9,135,60,SUCCESS
2026-04-01T03:26:15.355,60,107600,9,9,135,61,SUCCESS
2026-04-01T03:26:17.095,61,109341,9,9,135,62,SUCCESS
2026-04-01T03:26:18.836,62,111082,9,9,135,62,SUCCESS
2026-04-01T03:26:20.577,63,112822,8,8,120,60,SUCCESS
2026-04-01T03:26:22.319,64,114563,8,8,120,59,SUCCESS
2026-04-01T03:26:24.059,65,116304,8,8,120,62,SUCCESS
