wall_time,seq,timestamp_ms,rtt_raw_ns,rtt_est_ns,dist_cm,n_frames,status
2026-04-01T02:41:59.806,27,50075,18,18,270,55,SUCCESS
2026-04-01T02:42:01.533,28,51801,20,20,300,52,SUCCESS
2026-04-01T02:42:03.171,29,53440,20,20,300,55,SUCCESS
2026-04-01T02:42:04.912,30,55180,22,22,330,55,SUCCESS
2026-04-01T02:42:06.652,31,56921,23,23,345,56,SUCCESS
2026-04-01T02:42:08.393,32,58662,18,18,270,55,SUCCESS
2026-04-01T02:42:10.032,33,60300,19,19,285,57,SUCCESS
2026-04-01T02:42:11.773,34,62041,19,19,285,61,SUCCESS
2026-04-01T02:42:13.514,35,63782,22,22,330,55,SUCCESS
2026-04-01T02:42:15.152,36,65421,22,22,330,58,SUCCESS
2026-04-01T02:42:16.893,37,67162,22,22,330,51,SUCCESS
2026-04-01T02:42:18.531,38,68799,22,22,330,57,SUCCESS
2026-04-01T02:42:20.271,39,70540,22,22,330,59,SUCCESS
2026-04-01T02:42:22.013,40,72281,23,23,345,59,SUCCESS
2026-04-01T02:42:23.753,41,74022,24,24,360,59,SUCCESS
2026-04-01T02:42:25.494,42,75763,20,20,300,53,SUCCESS
2026-04-01T02:42:27.135,43,77401,24,24,360,61,SUCCESS
2026-04-01T02:42:28.875,44,79142,19,19,285,58,SUCCESS
2026-04-01T02:42:30.613,45,80883,22,22,330,55,SUCCESS
2026-04-01T02:42:32.252,46,82520,22,22,330,57,SUCCESS
2026-04-01T02:42:33.993,47,84262,22,22,330,53,SUCCESS
2026-04-01T02:42:35.645,48,85914,19,19,285,57,SUCCESS
2026-04-01T02:42:37.373,49,87641,22,22,330,60,SUCCESS
2026-04-01T02:42:39.113,50,89381,24,24,360,61,SUCCESS
2026-04-01T02:42:40.854,51,91122,24,24,360,51,SUCCESS
2026-04-01T02:42:42.492,52,92760,22,22,330,57,SUCCESS
2026-04-01T02:42:44.233,53,94502,24,24,360,57,SUCCESS
2026-04-01T02:42:45.973,54,96242,23,23,345,56,SUCCESS
2026-04-01T02:42:47.715,55,97983,23,23,345,57,SUCCESS
2026-04-01T02:42:49.455,56,99723,22,22,330,56,SUCCESS
2026-04-01T02:42:51.196,57,101465,21,21,315,56,SUCCESS
2026-04-01T02:42:52.938,58,103206,22,22,330,51,SUCCESS
2026-04-01T02:42:54.575,59,104843,24,24,360,51,SUCCESS
2026-04-01T02:42:56.214,60,106482,21,21,315,56,SUCCESS
2026-04-01T02:42:57.957,61,108223,24,24,360,55,SUCCESS
2026-04-01T02:42:59.695,62,109963,25,25,375,51,SUCCESS
