wall_time,seq,timestamp_ms,rtt_raw_ns,rtt_est_ns,dist_cm,n_frames,status
2026-04-01T02:52:06.503,21,39508,74,74,1110,58,SUCCESS
2026-04-01T02:52:08.241,22,41245,75,75,1125,57,SUCCESS
2026-04-01T02:52:09.980,23,42986,75,75,1125,59,SUCCESS
2026-04-01T02:52:11.721,24,44726,73,73,1095,53,SUCCESS
2026-04-01T02:52:13.358,25,46365,72,72,1080,58,SUCCESS
2026-04-01T02:52:15.100,26,48105,70,70,1050,59,SUCCESS
2026-04-01T02:52:16.841,27,49846,71,71,1065,57,SUCCESS
2026-04-01T02:52:18.597,28,51602,69,69,1035,57,SUCCESS
2026-04-01T02:52:20.323,29,53328,72,72,1080,62,SUCCESS
2026-04-01T02:52:22.063,30,55069,73,73,1095,61,SUCCESS
2026-04-01T02:52:23.807,31,56813,72,72,1080,56,SUCCESS
2026-04-01T02:52:25.560,32,58565,72,72,1080,59,SUCCESS
2026-04-01T02:52:27.286,33,60291,77,77,1155,59,SUCCESS
2026-04-01T02:52:29.027,34,62032,70,70,1050,56,SUCCESS
2026-04-01T02:52:30.665,35,63670,71,71,1065,59,SUCCESS
2026-04-01T02:52:32.404,36,65411,71,71,1065,57,SUCCESS
2026-04-01T02:52:34.043,37,67049,74,74,1110,58,SUCCESS
2026-04-01T02:52:35.785,38,68790,67,67,1005,58,SUCCESS
2026-04-01T02:52:37.527,39,70533,71,71,1065,55,SUCCESS
2026-04-01T02:52:39.163,40,72169,73,73,1095,54,SUCCESS
2026-04-01T02:52:40.803,41,73808,76,76,1140,58,SUCCESS
2026-04-01T02:52:42.543,42,75549,73,73,1095,59,SUCCESS
2026-04-01T02:52:44.285,43,77290,73,73,1095,60,SUCCESS
2026-04-01T02:52:46.026,44,79030,73,73,1095,56,SUCCESS
2026-04-01T02:52:47.765,45,80771,75,75,1125,59,SUCCESS
2026-04-01T02:52:49.506,46,82511,74,74,1110,56,SUCCESS
2026-04-01T02:52:51.145,47,84150,73,73,1095,58,SUCCESS
2026-04-01T02:52:52.886,48,85891,72,72,1080,53,SUCCESS
2026-04-01T02:52:54.523,49,87529,72,72,1080,60,SUCCESS
2026-04-01T02:52:56.265,50,89270,74,74,1110,51,SUCCESS
2026-04-01T02:52:57.904,51,90909,74,74,1110,54,SUCCESS
2026-04-01T02:52:59.542,52,92547,74,74,1110,61,SUCCESS
2026-04-01T02:53:01.282,53,94287,74,74,1110,59,SUCCESS
2026-04-01T02:53:03.023,54,96029,70,70,1050,58,SUCCESS
2026-04-01T02:53:04.764,55,97769,71,71,1065,51,SUCCESS
2026-04-01T02:53:06.417,56,99422,73,73,1095,60,SUCCESS
2026-04-01T02:53:08.146,57,101150,78,78,1170,59,SUCCESS
