wall_time,seq,timestamp_ms,rtt_raw_ns,rtt_est_ns,dist_cm,n_frames,status
2026-04-01T02:56:04.166,23,42125,121,121,1815,57,SUCCESS
2026-04-01T02:56:05.907,24,43867,125,125,1875,52,SUCCESS
2026-04-01T02:56:07.545,25,45505,124,124,1860,47,SUCCESS
2026-04-01T02:56:09.184,26,47144,116,116,1740,55,SUCCESS
2026-04-01T02:56:10.925,27,48884,117,117,1755,59,SUCCESS
2026-04-01T02:56:12.679,28,50639,117,117,1755,51,SUCCESS
2026-04-01T02:56:14.302,29,52263,120,120,1800,54,SUCCESS
2026-04-01T02:56:15.956,30,53916,114,114,1710,56,SUCCESS
2026-04-01T02:56:17.683,31,55642,123,123,1845,55,SUCCESS
2026-04-01T02:56:19.425,32,57385,130,130,1950,54,SUCCESS
2026-04-01T02:56:21.075,33,59036,142,142,2130,48,SUCCESS
2026-04-01T02:56:22.701,34,60661,125,125,1875,55,SUCCESS
2026-04-01T02:56:24.441,35,62401,118,118,1770,51,SUCCESS
2026-04-01T02:56:26.093,36,64053,125,125,1875,57,SUCCESS
2026-04-01T02:56:27.820,37,65780,125,125,1875,52,SUCCESS
2026-04-01T02:56:29.459,38,67418,112,112,1680,54,SUCCESS
2026-04-01T02:56:31.098,39,69057,117,117,1755,52,SUCCESS
2026-04-01T02:56:32.734,40,70695,120,120,1800,60,SUCCESS
2026-04-01T02:56:34.476,41,72436,123,123,1845,50,SUCCESS
2026-04-01T02:56:36.114,42,74074,162,162,2430,47,SUCCESS
2026-04-01T02:56:37.767,43,75727,119,119,1785,53,SUCCESS
2026-04-01T02:56:39.494,44,77454,117,117,1755,59,SUCCESS
2026-04-01T02:56:41.234,45,79194,124,124,1860,51,SUCCESS
2026-04-01T02:56:42.872,46,80832,120,120,1800,56,SUCCESS
2026-04-01T02:56:44.614,47,82573,121,121,1815,56,SUCCESS
2026-04-01T02:56:46.354,48,84314,118,118,1770,56,SUCCESS
2026-04-01T02:56:48.095,49,86055,115,115,1725,54,SUCCESS
2026-04-01T02:56:49.732,50,87693,129,129,1935,48,SUCCESS
2026-04-01T02:56:51.372,51,89332,117,117,1755,59,SUCCESS
2026-04-01T02:56:53.112,52,91072,107,107,1605,58,SUCCESS
2026-04-01T02:56:54.853,53,92813,113,113,1695,48,SUCCESS
2026-04-01T02:56:56.493,54,94452,132,132,1980,48,SUCCESS
2026-04-01T02:56:58.129,55,96090,145,145,2175,52,SUCCESS
2026-04-01T02:56:59.768,56,97729,118,118,1770,49,SUCCESS
2026-04-01T02:57:01.407,57,99366,138,138,2070,58,SUCCESS
2026-04-01T02:57:03.148,58,101107,118,118,1770,56,SUCCESS
2026-04-01T02:57:04.888,59,102848,131,131,1965,55,SUCCESS
2026-04-01T02:57:06.642,60,104603,130,130,1950,52,SUCCESS
2026-04-01T02:57:08.369,61,106330,109,109,1635,55,SUCCESS
2026-04-01T02:57:10.110,62,108070,111,111,1665,54,SUCCESS
