wall_time,seq,timestamp_ms,rtt_raw_ns,rtt_est_ns,dist_cm,n_frames,status
2026-04-01T02:43:55.097,30,54695,25,25,375,54,SUCCESS
2026-04-01T02:43:56.730,31,56329,26,26,390,54,SUCCESS
2026-04-01T02:43:58.367,32,57967,26,26,390,57,SUCCESS
2026-04-01T02:44:00.109,33,59708,26,26,390,55,SUCCESS
2026-04-01T02:44:01.748,34,61346,25,25,375,60,SUCCESS
2026-04-01T02:44:03.491,35,63087,25,25,375,59,SUCCESS
2026-04-01T02:44:05.228,36,64828,26,26,390,57,SUCCESS
2026-04-01T02:44:06.972,37,66570,27,27,405,57,SUCCESS
2026-04-01T02:44:08.726,38,68324,27,27,405,59,SUCCESS
2026-04-01T02:44:10.467,39,70065,23,23,345,60,SUCCESS
2026-04-01T02:44:12.192,40,71791,26,26,390,58,SUCCESS
2026-04-01T02:44:13.934,41,73532,25,25,375,60,SUCCESS
2026-04-01T02:44:15.674,42,75272,25,25,375,54,SUCCESS
2026-04-01T02:44:17.312,43,76910,23,23,345,58,SUCCESS
2026-04-01T02:44:19.053,44,78652,23,23,345,54,SUCCESS
2026-04-01T02:44:20.693,45,80290,25,25,375,53,SUCCESS
2026-04-01T02:44:22.330,46,81928,22,22,330,56,SUCCESS
2026-04-01T02:44:23.967,47,83567,24,24,360,57,SUCCESS
2026-04-01T02:44:25.708,48,85307,23,23,345,58,SUCCESS
2026-04-01T02:44:27.449,49,87048,24,24,360,56,SUCCESS
2026-04-01T02:44:29.089,50,88687,24,24,360,58,SUCCESS
2026-04-01T02:44:30.842,51,90441,24,24,360,55,SUCCESS
2026-04-01T02:44:32.569,52,92168,23,23,345,53,SUCCESS
2026-04-01T02:44:34.208,53,93806,24,24,360,56,SUCCESS
2026-04-01T02:44:35.860,54,95459,24,24,360,54,SUCCESS
2026-04-01T02:44:37.484,55,97083,23,23,345,57,SUCCESS
2026-04-01T02:44:39.228,56,98824,25,25,375,60,SUCCESS
2026-04-01T02:44:40.966,57,100564,24,24,360,55,SUCCESS
2026-04-01T02:44:42.603,58,102203,24,24,360,59,SUCCESS
2026-04-01T02:44:44.344,59,103943,24,24,360,56,SUCCESS
2026-04-01T02:44:46.085,60,105685,22,22,330,57,SUCCESS
2026-04-01T02:44:47.826,61,107425,23,23,345,57,SUCCESS
2026-04-01T02:44:49.567,62,109166,23,23,345,58,SUCCESS
2026-04-01T02:44:51.312,63,110911,23,23,345,53,SUCCESS
2026-04-01T02:44:52.951,64,112545,25,25,375,58,SUCCESS
2026-04-01T02:44:54.687,65,114286,26,26,390,52,SUCCESS
2026-04-01T02:44:56.324,66,115924,28,28,420,58,SUCCESS
2026-04-01T02:44:58.068,67,117667,27,27,405,61,SUCCESS
2026-04-01T02:44:59.821,68,119420,27,27,405,59,SUCCESS
